caudal.id	length	id	geno	pooled.geno
1	2.35	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
2	2.34	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
3	2.78	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
4	3.55	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
5	3.88	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
6	4.31	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
7	4.12	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
8	4.26	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
9	4.22	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
10	4.11	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
11	4.13	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
12	4.1	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
13	4.04	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
14	3.86	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
15	3.91	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
16	3.88	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
17	3.61	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
18	3.65	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
19	3.33	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
20	3.09	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
21	2.9	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
22	2.63	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
23	2.33	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
24	2.14	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
25	1.69	BEN_5	w453 w453 d13hd d13hd	w453 w453 d13hd d13hd
