id	C	T	L	S	Ca	vertebrae	Ta	geno	technique	ca.sum.2	full_geno	mCT	ls	tl	pretty.geno	pooled.geno	pretty.pooled.geno
1569	7	12	5	4	26	54	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1570	7	11	5	4	27	55	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	1	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1571	7	12	5	4	27	55	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1575	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1760	7	13	5	4	27	56	T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1776	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
1825	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1827	7	11	4	3	28	55	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	1	1	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1828	7	12	4	5	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1830	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
1949	7	13	5	4	26	55	T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1950	7	12	5	4	27	55	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1952	7	12	5	4	28	56	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
1996	7	13	6	3	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2000	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2001	7	11	5	4	26	54	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	1	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2003	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2008	7	12	5	4	29	57	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2012	7	12	5	4	25	53	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2058	7	12	5	4	28	56	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2058c	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2060	7	12	5	4	28	56	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2060c	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2061	7	12	5	4	28	56	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2061c	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2062	7	12	5	4	27	55	T9 > T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2097	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2099	7	12	5	4	24	52	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2104	7	12	5	4	27	55	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2106	7	12	5	4	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2112	7	13	5	4	30	59	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2113	7	12	5	4	26	54	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2115	7	12	4	5	25	53	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2116	7	12	5	4	26	54	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2146	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2147	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2148	7	13	5	3	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	1	0	wt	wt wt	wt
2167	7	12	5	4	26	54	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2169	7	12	5	4	24	52	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2170	7	13	5	4	29	58	T10	gof wt	alizarin	NA	go wt	FALSE	0	0	HoxBDel(I)9-13 +/-	gof wt	HoxBDel(I)9-13 +/-
2176	7	12	5	4	26	54	T9 > T10	gof gof	alizarin	NA	gof gof	FALSE	0	0	HoxBDel(I)9-13	gof gof	HoxBDel(I)9-13
2715	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2727	7	13	6	4	30	60	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2744	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2745	7	13	5	4	29	58	T10	res wt	alizarin	NA	r405 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2746	7	13	5	4	30	59	T10	res wt	alizarin	NA	r405 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2751	7	13	5	5	30	60	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2752	7	13	6	4	27	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2757	7	13	6	4	29	59	T10	b13hd wt	alizarin	NA	m438 w453	FALSE	0	0	Hoxb13hd +/-	b13hd wt	Hoxb13hd +/-
2790	7	13	5	4	29	59	T10	wt wt	alizarin	NA	wt wt	FALSE	1	0	wt	wt wt	wt
2802	7	13	5	4	29	58	T10	res wt	alizarin	NA	r434 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2803	7	13	5	4	30	59	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2804	7	13	5	4	31	60	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2806	7	13	5	4	32	61	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2836	7	13	5	4	32	61	T10	res res	alizarin	NA	r405 r405	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2838	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2841	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2842	7	13	6	4	29	59	T10	res res	alizarin	NA	r405 r405	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2843	7	13	5	4	31	60	T10	res wt	alizarin	NA	r405 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2845	7	13	5	4	31	60	T10	res wt	alizarin	NA	r405 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2846	7	13	5	4	32	61	T10	res res	alizarin	NA	r405 r405	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2847	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2848	7	13	5	4	30	59	T10	res wt	alizarin	NA	r434 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2849	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2850	7	13	5	4	31	60	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2852	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2854	7	13	5	4	32	61	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2856	7	13	5	4	25	54	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2859	7	13	5	4	31	60	T10	res res	alizarin	NA	r434 r434	FALSE	0	0	HoxBDel(I)9-13hd	res res	HoxBDel(I)9-13hd
2860	7	13	6	4	29	59	T10	res wt	alizarin	NA	r434 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2865	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2893	7	13	6	4	29	59	T10	res wt	alizarin	NA	r434 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2894	7	13	5	4	28	57	T10	res wt	alizarin	NA	r434 w453	FALSE	0	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2897	7	13	5	4	29	59	T10	res wt	alizarin	NA	r434 w453	FALSE	1	0	HoxBDel(I)9-13hd +/-	res wt	HoxBDel(I)9-13hd +/-
2913	7	13	5	4	28	57	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2914	7	13	5	4	29	58	T10	wt wt	alizarin	NA	wt wt	FALSE	0	0	wt	wt wt	wt
2915	7	13	5	4	31	60	T10	b13hd b13hd	alizarin	NA	m438 m438	FALSE	0	0	Hoxb13hd	b13hd b13hd	Hoxb13hd
2916	7	13	5	4	29	58	T10	b13hd wt	alizarin	NA	m438 w453	FALSE	0	0	Hoxb13hd +/-	b13hd wt	Hoxb13hd +/-
