age	line	length
28	m424	80
28	m424	68
29	m424	80
29	m424	76
29	m424	72
29	m424	68
30	m424	80
30	m424	68
31	m424	78
31	m424	74
32	m424	82
32	m424	71
33	m424	78
33	m424	75
34	m424	85
34	m424	73
35	m424	86
35	m424	81
35	m424	76
35	m424	76
36	m424	93
36	m424	75
37	m424	83
37	m424	77
39	m424	93
39	m424	84
39	m424	80
39	m424	78
41	m424	93
41	m424	85
41	m424	82
41	m424	81
43	m424	88
43	m424	87
43	m424	85
43	m424	82
45	m424	94
45	m424	88
45	m424	87
45	m424	85
45	m424	83
45	m424	83
47	m424	88
47	m424	88
47	m424	86
47	m424	85
49	m424	97
49	m424	92
49	m424	89
49	m424	86
49	m424	95
49	m424	86
51	m424	93
51	m424	82
51	m424	91
51	m424	89
53	m424	95
53	m424	88
53	m424	92
53	m424	90
55	m424	98
55	m424	95
55	m424	87
55	m424	88
55	m424	92
55	m424	92
56	m424	94
56	m424	94
57	m424	96
57	m424	89
57	m424	94
57	m424	93
59	m424	96
59	m424	93
59	m424	96
59	m424	93
61	m424	97
61	m424	92
61	m424	96
61	m424	95
63	m424	102
63	m424	97
63	m424	92
63	m424	92
63	m424	96
63	m424	96
64	m424	95
64	m424	94
65	m424	97
65	m424	92
69	m424	98
69	m424	97
70	m424	104
70	m424	92
73	m424	99
73	m424	93
75	m424	108
75	m424	106
75	m424	101
76	m424	98
76	m424	99
76	m424	98
76	m424	99
77	m424	106
77	m424	94
79	m424	100
79	m424	94
82	m424	102
82	m424	97
83	m424	109
83	m424	108
83	m424	101
84	m424	106
84	m424	95
86	m424	108
86	m424	97
86	m424	101
86	m424	97
86	m424	101
86	m424	98
92	m424	109
92	m424	97
100	m424	98
100	m424	109
101	m424	112
101	m424	107
101	m424	101
105	m424	112
105	m424	108
105	m424	102
107	m424	98
107	m424	99
111	m424	114
111	m424	109
111	m424	101
28	m438	68
29	m438	70
30	m438	71
31	m438	91
31	m438	78
31	m438	78
32	m438	87
32	m438	87
32	m438	87
32	m438	74
34	m438	89
34	m438	81
34	m438	80
34	m438	76
36	m438	77
38	m438	93
38	m438	85
38	m438	84
39	m438	78
40	m438	90
40	m438	97
40	m438	86
41	m438	81
43	m438	96
43	m438	86
43	m438	90
43	m438	83
45	m438	97
45	m438	91
45	m438	91
45	m438	84
47	m438	97
47	m438	90
47	m438	89
47	m438	84
48	m438	97
48	m438	90
48	m438	89
48	m438	86
48	m438	86
48	m438	86
49	m438	85
50	m438	98
50	m438	91
50	m438	90
51	m438	98
51	m438	92
51	m438	89
51	m438	88
52	m438	99
52	m438	90
52	m438	90
53	m438	88
54	m438	98
54	m438	91
54	m438	90
55	m438	88
56	m438	99
56	m438	92
56	m438	90
57	m438	89
58	m438	100
58	m438	93
58	m438	91
58	m438	97
58	m438	98
59	m438	90
61	m438	101
61	m438	93
61	m438	91
61	m438	91
62	m438	98
62	m438	98
62	m438	99
63	m438	101
63	m438	93
63	m438	91
63	m438	91
65	m438	101
65	m438	93
65	m438	92
65	m438	91
67	m438	93
67	m438	92
67	m438	101
67	m438	91
68	m438	98
68	m438	98
68	m438	98
69	m438	94
69	m438	93
69	m438	102
69	m438	92
71	m438	94
71	m438	93
71	m438	102
71	m438	92
73	m438	93
76	m438	98
76	m438	99
76	m438	99
79	m438	98
79	m438	95
79	m438	94
79	m438	103
79	m438	105
79	m438	92
83	m438	100
83	m438	101
83	m438	102
86	m438	92
86	m438	93
87	m438	98
87	m438	95
87	m438	95
87	m438	103
87	m438	106
90	m438	102
90	m438	103
90	m438	103
95	m438	95
95	m438	96
95	m438	104
97	m438	102
97	m438	102
97	m438	103
101	m438	96
101	m438	97
101	m438	103
105	m438	98
105	m438	111
108	m438	97
108	m438	96
108	m438	105
108	m438	96
108	m438	96
108	m438	104
109	m438	100
109	m438	111
28	wt	67
28	wt	71
29	wt	69
29	wt	72
29	wt	71
30	wt	74
30	wt	70
31	wt	70
31	wt	70
31	wt	73
32	wt	75
32	wt	71
33	wt	74
34	wt	71
34	wt	73
34	wt	75
34	wt	72
35	wt	78
35	wt	76
36	wt	77
36	wt	72
37	wt	78
38	wt	74
38	wt	75
39	wt	80
39	wt	79
39	wt	76
41	wt	82
41	wt	80
41	wt	76
43	wt	80
43	wt	79
43	wt	83
43	wt	82
43	wt	78
45	wt	79
45	wt	80
45	wt	86
45	wt	83
45	wt	82
45	wt	79
47	wt	80
47	wt	80
47	wt	82
47	wt	82
47	wt	80
48	wt	81
48	wt	80
49	wt	86
49	wt	83
49	wt	82
49	wt	80
50	wt	81
50	wt	82
51	wt	80
51	wt	82
51	wt	85
51	wt	82
51	wt	83
52	wt	81
52	wt	83
53	wt	86
53	wt	83
53	wt	84
54	wt	81
54	wt	84
55	wt	87
55	wt	86
55	wt	83
55	wt	88
56	wt	85
56	wt	84
56	wt	82
57	wt	92
57	wt	83
57	wt	88
58	wt	92
58	wt	88
59	wt	86
59	wt	84
59	wt	88
61	wt	87
61	wt	82
61	wt	85
61	wt	85
61	wt	88
63	wt	87
63	wt	87
63	wt	86
63	wt	85
63	wt	85
63	wt	89
64	wt	84
64	wt	85
64	wt	83
65	wt	84
65	wt	87
65	wt	88
65	wt	84
67	wt	84
67	wt	89
67	wt	85
69	wt	85
69	wt	88
69	wt	86
69	wt	90
70	wt	91
71	wt	84
71	wt	91
71	wt	91
71	wt	89
71	wt	84
71	wt	86
71	wt	86
73	wt	88
73	wt	86
75	wt	78
76	wt	91
76	wt	91
77	wt	94
77	wt	91
77	wt	92
77	wt	88
77	wt	88
79	wt	85
79	wt	87
79	wt	89
79	wt	85
82	wt	87
82	wt	86
82	wt	83
83	wt	86
84	wt	92
85	wt	92
85	wt	91
85	wt	87
85	wt	87
86	wt	86
86	wt	86
86	wt	89
86	wt	90
86	wt	86
86	wt	90
86	wt	86
87	wt	87
87	wt	86
87	wt	89
92	wt	86
92	wt	86
92	wt	85
95	wt	95
95	wt	94
95	wt	90
95	wt	90
95	wt	86
95	wt	90
99	wt	95
99	wt	95
99	wt	89
99	wt	90
100	wt	83
100	wt	86
100	wt	86
101	wt	87
101	wt	86
101	wt	91
105	wt	95
105	wt	95
105	wt	88
105	wt	88
105	wt	90
105	wt	90
107	wt	86
107	wt	88
107	wt	86
108	wt	87
108	wt	91
108	wt	87
108	wt	91
111	wt	91
