geno	length
gof/gof	74
gof/gof	74
gof/gof	74
gof/gof	79
gof/gof	73
gof/wt	84
gof/wt	83
gof/wt	85
gof/wt	83
gof/wt	90
gof/wt	77
gof/wt	80
gof/wt	80
gof/wt	84
gof/wt	85
gof/wt	82
gof/wt	80
gof/wt	86
gof/wt	91
gof/wt	86
gof/wt	86
gof/wt	79
gof/wt	80
gof/wt	86
gof/wt	90
gof/wt	75
gof/wt	78
wt/wt	82
wt/wt	88
wt/wt	88
wt/wt	84
wt/wt	86
wt/wt	89
wt/wt	90
wt/wt	91
wt/wt	93
wt/wt	91
wt/wt	88
wt/wt	88
wt/wt	87
wt/wt	87
wt/wt	87
wt/wt	87
wt/wt	86
wt/wt	86
wt/wt	85
wt/wt	85
wt/wt	85
wt/wt	85
wt/wt	84
wt/wt	84
wt/wt	84
wt/wt	83
wt/wt	82
wt/wt	82
wt/wt	82
wt/wt	82
wt/wt	82
wt/wt	82
wt/wt	81
wt/wt	81
wt/wt	81
wt/wt	80
wt/wt	79
wt/wt	79
wt/wt	79
wt/wt	79
wt/wt	79
wt/wt	79
wt/wt	78
wt/wt	77
wt/wt	77
r405/wt	97
r405/wt	95
r405/wt	94
r405/wt	89
r405/wt	88
r405/wt	88
r405/wt	87
r405/wt	86
r405/wt	86
r405/wt	86
r405/wt	85
r405/wt	85
r405/wt	84
r405/wt	84
r405/wt	83
r405/wt	80
r405/wt	80
r434/wt	98
r434/wt	97
r434/wt	97
r434/wt	95
r434/wt	95
r434/wt	95
r434/wt	95
r434/wt	95
r434/wt	94
r434/wt	94
r434/wt	94
r434/wt	91
r434/wt	91
r434/wt	91
r434/wt	90
r434/wt	89
r434/wt	88
r434/wt	88
r434/wt	87
r434/wt	87
r434/wt	87
r434/wt	86
r434/wt	86
r434/wt	85
r434/wt	84
r434/wt	80
r434/wt	79
r434/wt	78
r405/r405	105
r405/r405	101
r405/r405	97
r405/r405	95
r405/r405	95
r405/r405	95
r405/r405	94
r405/r405	94
r405/r405	94
r405/r405	92
r405/r405	92
r405/r405	91
r405/r405	91
r405/r405	89
r434/r434	107
r434/r434	102
r434/r434	102
r434/r434	102
r434/r434	100
r434/r434	100
r434/r434	98
r434/r434	97
r434/r434	96
r434/r434	94
r434/r434	94
r434/r434	93
r434/r434	92
