ID	age	geno	length
3044	75	m424	101
3044	83	m424	101
3044	101	m424	101
3044	105	m424	102
3044	111	m424	101
3048	75	wt	78
3048	83	wt	86
3048	101	wt	87
3048	105	wt	88
3048	111	wt	91
3050	75	m424	106
3050	83	m424	108
3050	101	m424	107
3050	105	m424	108
3050	111	m424	109
3051	75	m424	108
3051	83	m424	109
3051	101	m424	112
3051	105	m424	112
3051	111	m424	114
3056	79	m438	98
3056	87	m438	98
3056	105	m438	98
3056	109	m438	100
3057	79	wt	87
3057	87	wt	87
3057	105	wt	88
3059	79	m438	105
3059	87	m438	106
3059	105	m438	111
3059	109	m438	111
3113	56	wt	82
3113	64	wt	83
3209	77	m424;w453	101
3113	82	wt	83
3113	86	wt	89
3113	92	wt	85
3209	70	m424;w453	100
3113	100	wt	83
3113	107	wt	86
3053	101	m424;w453	100
3116	56	wt	85
3209	84	m424;w453	100
3046	105	m424;w453	99
3209	63	m424;w453	99
3121	107	m424;w453	99
3049	105	m424;w453	98
3116	64	wt	84
3053	111	m424;w453	98
3114	107	m424;w453	87
3114	100	m424;w453	86
3049	111	m424;w453	97
3058	109	m438;w453	96
3046	101	m424;w453	97
3374	56	m438;w453	96
3374	58	m438;w453	96
3116	82	wt	87
3116	86	wt	86
3209	55	m424;w453	97
3116	92	wt	86
3116	100	wt	86
3116	107	wt	86
3121	86	m424;w453	97
3121	92	m424;w453	97
3115	100	m424;w453	92
3121	100	m424;w453	97
3117	56	m424	94
3117	64	m424	94
3117	82	m424	97
3117	86	m424	97
3054	109	m438;w453	95
3055	109	m438;w453	95
3117	92	m424	97
3374	51	m438;w453	95
3117	100	m424	98
3046	111	m424;w453	96
3117	107	m424	98
3047	111	m424;w453	96
3049	75	m424;w453	96
3049	83	m424;w453	96
3049	101	m424;w453	96
3053	75	m424;w453	96
3053	83	m424;w453	96
3121	64	m424;w453	96
3121	82	m424;w453	96
3045	105	m424;w453	95
3118	56	wt	84
3118	64	wt	85
3046	75	m424;w453	95
3046	83	m424;w453	95
3047	101	m424;w453	95
3374	49	m438;w453	94
3374	54	m438;w453	94
3375	56	m438;w453	94
3375	58	m438;w453	94
3118	82	wt	86
3118	86	wt	86
3118	92	wt	86
3118	100	wt	86
3118	107	wt	88
3054	79	m438;w453	94
3119	56	m424	94
3054	87	m438;w453	94
3054	105	m438;w453	94
3119	64	m424	95
3047	105	m424;w453	94
3119	82	m424	102
3119	86	m424	108
3119	92	m424	109
3202	84	m424;w453	94
3119	100	m424	109
3119	107	m424	99
3147	71	wt	91
3385	63	m424;w453	91
3052	111	m424;w453	94
3206	77	m424;w453	94
3147	77	wt	91
3147	85	wt	92
3147	95	wt	95
3147	99	wt	95
3147	105	wt	95
3149	71	wt	91
3149	77	wt	94
3149	85	wt	91
3374	47	m438;w453	93
3375	54	m438;w453	93
3376	56	m438;w453	93
3376	58	m438;w453	93
3149	95	wt	94
3149	99	wt	95
3058	79	m438;w453	93
3148	85	m438;w453	93
3179	97	m438;w453	93
3181	97	m438;w453	93
3149	105	wt	95
3055	105	m438;w453	93
3151	71	wt	86
3151	77	wt	88
3151	85	wt	87
3151	95	wt	90
3366	63	m438;w453	92
3366	65	m438;w453	92
3120	82	m424;w453	94
3052	101	m424;w453	94
3206	84	m424;w453	94
3121	56	m424;w453	94
3115	107	m424;w453	92
3151	99	wt	90
3366	54	m438;w453	92
3151	105	wt	90
3366	58	m438;w453	92
3366	61	m438;w453	92
3366	79	m438;w453	93
3366	71	m438;w453	93
3202	77	m424;w453	93
3152	71	wt	84
3045	101	m424;w453	93
3386	63	m424;w453	90
3152	77	wt	88
3152	85	wt	87
3366	67	m438;w453	92
3385	61	m424;w453	92
3386	61	m424;w453	89
3366	69	m438;w453	92
3152	95	wt	90
3152	99	wt	89
3152	105	wt	90
3182	32	m438	87
3182	40	m438	97
3182	48	m438	86
3182	62	m438	99
3181	76	m438;w453	92
3209	49	m424;w453	93
3052	105	m424;w453	93
3181	83	m438;w453	92
3179	90	m438;w453	92
3374	44	m438;w453	92
3181	90	m438;w453	92
3148	99	m438;w453	92
3148	105	m438;w453	92
3375	47	m438;w453	92
3375	49	m438;w453	92
3375	51	m438;w453	92
3053	105	m424;w453	93
3182	68	m438	98
3182	76	m438	99
3182	83	m438	102
3182	90	m438	103
3182	97	m438	103
3184	32	m438	87
3184	40	m438	86
3184	48	m438	86
3184	58	m438	97
3184	62	m438	98
3184	68	m438	98
3120	86	m424;w453	93
3120	92	m424;w453	93
3120	100	m424;w453	93
3184	76	m438	98
3184	83	m438	101
3184	90	m438	103
3366	56	m438;w453	91
3184	97	m438	102
3185	32	m438	87
3185	40	m438	90
3185	48	m438	86
3374	43	m438;w453	91
3374	45	m438;w453	91
3374	40	m438;w453	91
3374	41	m438;w453	91
3185	58	m438	98
3185	62	m438	98
3185	68	m438	98
3376	54	m438;w453	91
3185	76	m438	99
3185	83	m438	100
3181	68	m438;w453	91
3185	90	m438	102
3185	97	m438	102
3179	83	m438;w453	91
3205	35	m424	76
3205	45	m424	83
3205	49	m424	95
3205	55	m424	88
3205	63	m424	92
3205	70	m424	92
3045	111	m424;w453	92
3205	77	m424	94
3205	84	m424	95
3207	35	wt	78
3207	45	wt	86
3045	75	m424;w453	92
3207	49	wt	86
3207	55	wt	87
3371	63	m438;w453	95
3371	47	m438;w453	87
3371	48	m438;w453	87
3371	31	m438;w453	77
3371	34	m438;w453	78
3371	43	m438;w453	85
3371	45	m438;w453	87
3371	50	m438;w453	87
3371	51	m438;w453	89
3371	52	m438;w453	90
3371	54	m438;w453	90
3371	56	m438;w453	91
3371	38	m438;w453	82
3207	63	wt	87
3371	58	m438;w453	92
3371	61	m438;w453	93
3371	65	m438;w453	95
3207	70	wt	91
3207	77	wt	92
3207	84	wt	92
3371	67	m438;w453	94
3372	63	m438;w453	82
3372	47	m438;w453	76
3372	48	m438;w453	76
3372	31	m438;w453	66
