"species"	"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"	"rank_name"	"distance"	"pretty.names"
"Abingdon island giant tortoise"	"cabingdonii_gene_ensembl"	"Abingdon island giant tortoise genes (ASM359739v1)"	"ASM359739v1"	"Hoxb1_Hoxb9"	92587	""	"Testudines"	92.587	"Reptilia"
"Abingdon island giant tortoise"	"cabingdonii_gene_ensembl"	"Abingdon island giant tortoise genes (ASM359739v1)"	"ASM359739v1"	"Hoxb9_Hoxb13"	61943	""	"Testudines"	61.943	"Reptilia"
"Algerian mouse"	"mspretus_gene_ensembl"	"Algerian mouse genes (SPRET_EiJ_v1)"	"SPRET_EiJ_v1"	"Hoxb1_Hoxb9"	91828	"multiple_extremities_this_is_average"	"Muridae"	91.828	"Muridae"
"Algerian mouse"	"mspretus_gene_ensembl"	"Algerian mouse genes (SPRET_EiJ_v1)"	"SPRET_EiJ_v1"	"Hoxb9_Hoxb13"	89321	"multiple_extremities_this_is_average"	"Muridae"	89.321	"Muridae"
"American bison"	"bbbison_gene_ensembl"	"American bison genes (Bison_UMD1.0)"	"Bison_UMD1.0"	"Hoxb1_Hoxb9"	88527	""	"Eutheria"	88.527	"Other Placentalia"
"American bison"	"bbbison_gene_ensembl"	"American bison genes (Bison_UMD1.0)"	"Bison_UMD1.0"	"Hoxb9_Hoxb13"	73910	""	"Eutheria"	73.91	"Other Placentalia"
"American mink"	"nvison_gene_ensembl"	"American mink genes (NNQGG.v01)"	"NNQGG.v01"	"Hoxb1_Hoxb9"	91294	""	"Eutheria"	91.294	"Other Placentalia"
"American mink"	"nvison_gene_ensembl"	"American mink genes (NNQGG.v01)"	"NNQGG.v01"	"Hoxb9_Hoxb13"	73184	""	"Eutheria"	73.184	"Other Placentalia"
"Arabian camel"	"cdromedarius_gene_ensembl"	"Arabian camel genes (CamDro2)"	"CamDro2"	"Hoxb1_Hoxb9"	88075	""	"Eutheria"	88.075	"Other Placentalia"
"Arabian camel"	"cdromedarius_gene_ensembl"	"Arabian camel genes (CamDro2)"	"CamDro2"	"Hoxb9_Hoxb13"	60491	""	"Eutheria"	60.491	"Other Placentalia"
"Arctic ground squirrel"	"uparryii_gene_ensembl"	"Arctic ground squirrel genes (ASM342692v1)"	"ASM342692v1"	"Hoxb1_Hoxb9"	89254	""	"Eutheria"	89.254	"Other Placentalia"
"Arctic ground squirrel"	"uparryii_gene_ensembl"	"Arctic ground squirrel genes (ASM342692v1)"	"ASM342692v1"	"Hoxb9_Hoxb13"	90111	""	"Eutheria"	90.111	"Other Placentalia"
"Argentine black and white tegu"	"smerianae_gene_ensembl"	"Argentine black and white tegu genes (HLtupMer3)"	"HLtupMer3"	"Hoxb1_Hoxb9"	139968	""	"Lepidosauria"	139.968	"Reptilia"
"Argentine black and white tegu"	"smerianae_gene_ensembl"	"Argentine black and white tegu genes (HLtupMer3)"	"HLtupMer3"	"Hoxb9_Hoxb13"	67743.5999999996	"multiple_extremities_this_is_average"	"Lepidosauria"	67.7435999999996	"Reptilia"
"Asian bonytongue"	"sformosus_gene_ensembl"	"Asian bonytongue genes (fSclFor1.1)"	"fSclFor1.1"	"Hoxb1_Hoxb9"	79476	"ignored_22_and_8_genes__"	"Actinopterygii"	79.476	"Actinopterygii"
"Asian bonytongue"	"sformosus_gene_ensembl"	"Asian bonytongue genes (fSclFor1.1)"	"fSclFor1.1"	"Hoxb9_Hoxb13"	21158	"ignored_8_genes__"	"Actinopterygii"	21.158	"Actinopterygii"
"Atlantic cod"	"gmorhua_gene_ensembl"	"Atlantic cod genes (gadMor3.0)"	"gadMor3.0"	"Hoxb1_Hoxb9"	137884	"ignored_18_genes__"	"Actinopterygii"	137.884	"Actinopterygii"
"Atlantic cod"	"gmorhua_gene_ensembl"	"Atlantic cod genes (gadMor3.0)"	"gadMor3.0"	"Hoxb9_Hoxb13"	111904	""	"Actinopterygii"	111.904	"Actinopterygii"
"Atlantic herring"	"charengus_gene_ensembl"	"Atlantic herring genes (Ch_v2.0.2)"	"Ch_v2.0.2"	"Hoxb1_Hoxb9"	93207	"ignored_23_genes__"	"Actinopterygii"	93.207	"Actinopterygii"
"Atlantic herring"	"charengus_gene_ensembl"	"Atlantic herring genes (Ch_v2.0.2)"	"Ch_v2.0.2"	"Hoxb9_Hoxb13"	31365	""	"Actinopterygii"	31.365	"Actinopterygii"
"Australian saltwater crocodile"	"cporosus_gene_ensembl"	"Australian saltwater crocodile genes (CroPor_comp1)"	"CroPor_comp1"	"Hoxb1_Hoxb9"	95577	""	"Crocodylia"	95.577	"Reptilia"
"Australian saltwater crocodile"	"cporosus_gene_ensembl"	"Australian saltwater crocodile genes (CroPor_comp1)"	"CroPor_comp1"	"Hoxb9_Hoxb13"	78430	""	"Crocodylia"	78.43	"Reptilia"
"Barramundi perch"	"lcalcarifer_gene_ensembl"	"Barramundi perch genes (ASB_HGAPassembly_v1)"	"ASB_HGAPassembly_v1"	"Hoxb1_Hoxb9"	145615	"ignored_CYIF01000144.1_genes__"	"Actinopterygii"	145.615	"Actinopterygii"
"Barramundi perch"	"lcalcarifer_gene_ensembl"	"Barramundi perch genes (ASB_HGAPassembly_v1)"	"ASB_HGAPassembly_v1"	"Hoxb9_Hoxb13"	48205	""	"Actinopterygii"	48.205	"Actinopterygii"
"Beluga whale"	"dleucas_gene_ensembl"	"Beluga whale genes (ASM228892v3)"	"ASM228892v3"	"Hoxb1_Hoxb9"	93919	""	"Eutheria"	93.919	"Other Placentalia"
"Beluga whale"	"dleucas_gene_ensembl"	"Beluga whale genes (ASM228892v3)"	"ASM228892v3"	"Hoxb9_Hoxb13"	75080	""	"Eutheria"	75.08	"Other Placentalia"
"Bicolor damselfish"	"spartitus_gene_ensembl"	"Bicolor damselfish genes (Stegastes_partitus-1.0.2)"	"Stegastes_partitus-1.0.2"	"Hoxb1_Hoxb9"	150287.5	"ignored_KK580178.1_genes__multiple_extremities_this_is_average"	"Actinopterygii"	150.2875	"Actinopterygii"
"Bicolor damselfish"	"spartitus_gene_ensembl"	"Bicolor damselfish genes (Stegastes_partitus-1.0.2)"	"Stegastes_partitus-1.0.2"	"Hoxb9_Hoxb13"	57975	""	"Actinopterygii"	57.975	"Actinopterygii"
"Black snub-nosed monkey"	"rbieti_gene_ensembl"	"Black snub-nosed monkey genes (ASM169854v1)"	"ASM169854v1"	"Hoxb1_Hoxb9"	91403	""	"Primates"	91.403	"Other Primates"
"Black snub-nosed monkey"	"rbieti_gene_ensembl"	"Black snub-nosed monkey genes (ASM169854v1)"	"ASM169854v1"	"Hoxb9_Hoxb13"	98190	""	"Primates"	98.19	"Other Primates"
"Blue whale"	"bmusculus_gene_ensembl"	"Blue whale genes (mBalMus1.v2)"	"mBalMus1.v2"	"Hoxb1_Hoxb9"	89855	""	"Eutheria"	89.855	"Other Placentalia"
"Blue whale"	"bmusculus_gene_ensembl"	"Blue whale genes (mBalMus1.v2)"	"mBalMus1.v2"	"Hoxb9_Hoxb13"	74138	""	"Eutheria"	74.138	"Other Placentalia"
"Bolivian squirrel monkey"	"sbboliviensis_gene_ensembl"	"Bolivian squirrel monkey genes (SaiBol1.0)"	"SaiBol1.0"	"Hoxb1_Hoxb9"	89763	""	"Primates"	89.763	"Other Primates"
"Bolivian squirrel monkey"	"sbboliviensis_gene_ensembl"	"Bolivian squirrel monkey genes (SaiBol1.0)"	"SaiBol1.0"	"Hoxb9_Hoxb13"	90256	""	"Primates"	90.256	"Other Primates"
"Bonobo"	"ppaniscus_gene_ensembl"	"Bonobo genes (panpan1.1)"	"panpan1.1"	"Hoxb1_Hoxb9"	89390	""	"Hominidae"	89.39	"Hominidae"
"Bonobo"	"ppaniscus_gene_ensembl"	"Bonobo genes (panpan1.1)"	"panpan1.1"	"Hoxb9_Hoxb13"	98840	""	"Hominidae"	98.84	"Hominidae"
"Brown trout"	"strutta_gene_ensembl"	"Brown trout genes (fSalTru1.1)"	"fSalTru1.1"	"Hoxb1_Hoxb9"	100228	"ignored_2_and_24_and_32_genes__"	"Actinopterygii"	100.228	"Actinopterygii"
"Brown trout"	"strutta_gene_ensembl"	"Brown trout genes (fSalTru1.1)"	"fSalTru1.1"	"Hoxb9_Hoxb13"	34961	"ignored_32_genes__"	"Actinopterygii"	34.961	"Actinopterygii"
"Burton's mouthbrooder"	"hburtoni_gene_ensembl"	"Burton's mouthbrooder genes (AstBur1.0)"	"AstBur1.0"	"Hoxb1_Hoxb9"	139414	"ignored_JH425326.1_genes__"	"Actinopterygii"	139.414	"Actinopterygii"
"Burton's mouthbrooder"	"hburtoni_gene_ensembl"	"Burton's mouthbrooder genes (AstBur1.0)"	"AstBur1.0"	"Hoxb9_Hoxb13"	68427	""	"Actinopterygii"	68.427	"Actinopterygii"
"Bushbaby"	"ogarnettii_gene_ensembl"	"Bushbaby genes (OtoGar3)"	"OtoGar3"	"Hoxb1_Hoxb9"	90801	""	"Primates"	90.801	"Other Primates"
"Bushbaby"	"ogarnettii_gene_ensembl"	"Bushbaby genes (OtoGar3)"	"OtoGar3"	"Hoxb9_Hoxb13"	87927	""	"Primates"	87.927	"Other Primates"
"Cat"	"fcatus_gene_ensembl"	"Cat genes (Felis_catus_9.0)"	"Felis_catus_9.0"	"Hoxb1_Hoxb9"	87906	""	"Eutheria"	87.906	"Other Placentalia"
"Cat"	"fcatus_gene_ensembl"	"Cat genes (Felis_catus_9.0)"	"Felis_catus_9.0"	"Hoxb9_Hoxb13"	75634	""	"Eutheria"	75.634	"Other Placentalia"
"Chacoan peccary"	"cwagneri_gene_ensembl"	"Chacoan peccary genes (CatWag_v2_BIUU_UCD)"	"CatWag_v2_BIUU_UCD"	"Hoxb1_Hoxb9"	89982	""	"Eutheria"	89.982	"Other Placentalia"
"Chacoan peccary"	"cwagneri_gene_ensembl"	"Chacoan peccary genes (CatWag_v2_BIUU_UCD)"	"CatWag_v2_BIUU_UCD"	"Hoxb9_Hoxb13"	54053	""	"Eutheria"	54.053	"Other Placentalia"
"Channel bull blenny"	"cgobio_gene_ensembl"	"Channel bull blenny genes (fCotGob3.1)"	"fCotGob3.1"	"Hoxb1_Hoxb9"	155339	"ignored_19_genes__"	"Actinopterygii"	155.339	"Actinopterygii"
"Channel bull blenny"	"cgobio_gene_ensembl"	"Channel bull blenny genes (fCotGob3.1)"	"fCotGob3.1"	"Hoxb9_Hoxb13"	48912	""	"Actinopterygii"	48.912	"Actinopterygii"
"Channel catfish"	"ipunctatus_gene_ensembl"	"Channel catfish genes (IpCoco_1.2)"	"IpCoco_1.2"	"Hoxb1_Hoxb9"	79234	"ignored_13_genes__"	"Actinopterygii"	79.234	"Actinopterygii"
"Channel catfish"	"ipunctatus_gene_ensembl"	"Channel catfish genes (IpCoco_1.2)"	"IpCoco_1.2"	"Hoxb9_Hoxb13"	27366	""	"Actinopterygii"	27.366	"Actinopterygii"
"Chicken"	"ggallus_gene_ensembl"	"Chicken genes (bGalGal1.mat.broiler.GRCg7b)"	"bGalGal1.mat.broiler.GRCg7b"	"Hoxb1_Hoxb9"	90929	"multiple_extremities_this_is_average"	"Aves"	90.929	"Aves"
"Chicken"	"ggallus_gene_ensembl"	"Chicken genes (bGalGal1.mat.broiler.GRCg7b)"	"bGalGal1.mat.broiler.GRCg7b"	"Hoxb9_Hoxb13"	36986	"multiple_extremities_this_is_average"	"Aves"	36.986	"Aves"
"Chimpanzee"	"ptroglodytes_gene_ensembl"	"Chimpanzee genes (Pan_tro_3.0)"	"Pan_tro_3.0"	"Hoxb1_Hoxb9"	88774	""	"Hominidae"	88.774	"Hominidae"
"Chimpanzee"	"ptroglodytes_gene_ensembl"	"Chimpanzee genes (Pan_tro_3.0)"	"Pan_tro_3.0"	"Hoxb9_Hoxb13"	106675	""	"Hominidae"	106.675	"Hominidae"
"Chinese hamster CHOK1GS"	"cgchok1gshd_gene_ensembl"	"Chinese hamster CHOK1GS genes (CHOK1GS_HDv1)"	"CHOK1GS_HDv1"	"Hoxb1_Hoxb9"	91474	""	"Eutheria"	91.474	"Other Placentalia"
"Chinese hamster CHOK1GS"	"cgchok1gshd_gene_ensembl"	"Chinese hamster CHOK1GS genes (CHOK1GS_HDv1)"	"CHOK1GS_HDv1"	"Hoxb9_Hoxb13"	70588	""	"Eutheria"	70.588	"Other Placentalia"
"Chinese medaka"	"osinensis_gene_ensembl"	"Chinese medaka genes (ASM858656v1)"	"ASM858656v1"	"Hoxb1_Hoxb9"	128954	"ignored_VHIC01000743.1_genes__"	"Actinopterygii"	128.954	"Actinopterygii"
"Chinese medaka"	"osinensis_gene_ensembl"	"Chinese medaka genes (ASM858656v1)"	"ASM858656v1"	"Hoxb9_Hoxb13"	24526	""	"Actinopterygii"	24.526	"Actinopterygii"
"Chinese softshell turtle"	"psinensis_gene_ensembl"	"Chinese softshell turtle genes (PelSin_1.0)"	"PelSin_1.0"	"Hoxb1_Hoxb9"	93079	""	"Testudines"	93.079	"Reptilia"
"Chinese softshell turtle"	"psinensis_gene_ensembl"	"Chinese softshell turtle genes (PelSin_1.0)"	"PelSin_1.0"	"Hoxb9_Hoxb13"	88744	""	"Testudines"	88.744	"Reptilia"
"Chinook salmon"	"otshawytscha_gene_ensembl"	"Chinook salmon genes (Otsh_v1.0)"	"Otsh_v1.0"	"Hoxb1_Hoxb9"	100251	"ignored_24_and_3_and_9_genes__"	"Actinopterygii"	100.251	"Actinopterygii"
"Chinook salmon"	"otshawytscha_gene_ensembl"	"Chinook salmon genes (Otsh_v1.0)"	"Otsh_v1.0"	"Hoxb9_Hoxb13"	30326	"ignored_9_genes__"	"Actinopterygii"	30.326	"Actinopterygii"
"Climbing perch"	"atestudineus_gene_ensembl"	"Climbing perch genes (fAnaTes1.2)"	"fAnaTes1.2"	"Hoxb1_Hoxb9"	138337.5	"ignored_19_genes__multiple_extremities_this_is_average"	"Actinopterygii"	138.3375	"Actinopterygii"
"Climbing perch"	"atestudineus_gene_ensembl"	"Climbing perch genes (fAnaTes1.2)"	"fAnaTes1.2"	"Hoxb9_Hoxb13"	40999	""	"Actinopterygii"	40.999	"Actinopterygii"
"Clown anemonefish"	"aocellaris_gene_ensembl"	"Clown anemonefish genes (AmpOce1.0)"	"AmpOce1.0"	"Hoxb1_Hoxb9"	164560	"ignored_NXFZ01005965.1_genes__"	"Actinopterygii"	164.56	"Actinopterygii"
"Clown anemonefish"	"aocellaris_gene_ensembl"	"Clown anemonefish genes (AmpOce1.0)"	"AmpOce1.0"	"Hoxb9_Hoxb13"	64749	""	"Actinopterygii"	64.749	"Actinopterygii"
"Coelacanth"	"lchalumnae_gene_ensembl"	"Coelacanth genes (LatCha1)"	"LatCha1"	"Hoxb1_Hoxb9"	97993	""	"Latimeria chalumnae"	97.993	"Coelacanth"
"Coelacanth"	"lchalumnae_gene_ensembl"	"Coelacanth genes (LatCha1)"	"LatCha1"	"Hoxb9_Hoxb13"	99890	""	"Latimeria chalumnae"	99.89	"Coelacanth"
"Coho salmon"	"okisutch_gene_ensembl"	"Coho salmon genes (Okis_V2)"	"Okis_V2"	"Hoxb1_Hoxb9"	100336	"ignored_LG2_and_LG20_and_LG6_genes__"	"Actinopterygii"	100.336	"Actinopterygii"
"Coho salmon"	"okisutch_gene_ensembl"	"Coho salmon genes (Okis_V2)"	"Okis_V2"	"Hoxb9_Hoxb13"	28819	"ignored_LG6_genes__"	"Actinopterygii"	28.819	"Actinopterygii"
"Common carp"	"cccarpio_gene_ensembl"	"Common carp genes (Cypcar_WagV4.0)"	"Cypcar_WagV4.0"	"Hoxb1_Hoxb9"	86120	"ignored_CAJNDQ010000004.1_and_CAJNDQ010000026.1_and_CAJNDQ010000045.1_genes__"	"Actinopterygii"	86.12	"Actinopterygii"
"Common carp"	"cccarpio_gene_ensembl"	"Common carp genes (Cypcar_WagV4.0)"	"Cypcar_WagV4.0"	"Hoxb9_Hoxb13"	20981	"ignored_CAJNDQ010000004.1_genes__"	"Actinopterygii"	20.981	"Actinopterygii"
"Common wombat"	"vursinus_gene_ensembl"	"Common wombat genes (bare-nosed_wombat_genome_assembly)"	"bare-nosed_wombat_genome_assembly"	"Hoxb1_Hoxb9"	98750	""	"Metatheria"	98.75	"Marsupialia"
"Common wombat"	"vursinus_gene_ensembl"	"Common wombat genes (bare-nosed_wombat_genome_assembly)"	"bare-nosed_wombat_genome_assembly"	"Hoxb9_Hoxb13"	99142	""	"Metatheria"	99.142	"Marsupialia"
"Coquerel's sifaka"	"pcoquereli_gene_ensembl"	"Coquerel's sifaka genes (Pcoq_1.0)"	"Pcoq_1.0"	"Hoxb1_Hoxb9"	87503	""	"Primates"	87.503	"Other Primates"
"Coquerel's sifaka"	"pcoquereli_gene_ensembl"	"Coquerel's sifaka genes (Pcoq_1.0)"	"Pcoq_1.0"	"Hoxb9_Hoxb13"	79780	""	"Primates"	79.78	"Other Primates"
"Cow"	"btaurus_gene_ensembl"	"Cow genes (ARS-UCD1.3)"	"ARS-UCD1.3"	"Hoxb1_Hoxb9"	86776	""	"Eutheria"	86.776	"Other Placentalia"
"Cow"	"btaurus_gene_ensembl"	"Cow genes (ARS-UCD1.3)"	"ARS-UCD1.3"	"Hoxb9_Hoxb13"	72760	""	"Eutheria"	72.76	"Other Placentalia"
"Crab-eating macaque"	"mfascicularis_gene_ensembl"	"Crab-eating macaque genes (Macaca_fascicularis_6.0)"	"Macaca_fascicularis_6.0"	"Hoxb1_Hoxb9"	91681	""	"Primates"	91.681	"Other Primates"
"Crab-eating macaque"	"mfascicularis_gene_ensembl"	"Crab-eating macaque genes (Macaca_fascicularis_6.0)"	"Macaca_fascicularis_6.0"	"Hoxb9_Hoxb13"	93384	""	"Primates"	93.384	"Other Primates"
"Degu"	"odegus_gene_ensembl"	"Degu genes (OctDeg1.0)"	"OctDeg1.0"	"Hoxb1_Hoxb9"	90809	""	"Eutheria"	90.809	"Other Placentalia"
"Degu"	"odegus_gene_ensembl"	"Degu genes (OctDeg1.0)"	"OctDeg1.0"	"Hoxb9_Hoxb13"	69205	""	"Eutheria"	69.205	"Other Placentalia"
"Denticle herring"	"dclupeoides_gene_ensembl"	"Denticle herring genes (fDenClu1.1)"	"fDenClu1.1"	"Hoxb1_Hoxb9"	75332	"ignored_9_genes__"	"Actinopterygii"	75.332	"Actinopterygii"
"Denticle herring"	"dclupeoides_gene_ensembl"	"Denticle herring genes (fDenClu1.1)"	"fDenClu1.1"	"Hoxb9_Hoxb13"	70425.6000000002	"multiple_extremities_this_is_average"	"Actinopterygii"	70.4256000000002	"Actinopterygii"
"Dingo"	"cldingo_gene_ensembl"	"Dingo genes (ASM325472v1)"	"ASM325472v1"	"Hoxb1_Hoxb9"	89333	""	"Eutheria"	89.333	"Other Placentalia"
"Dingo"	"cldingo_gene_ensembl"	"Dingo genes (ASM325472v1)"	"ASM325472v1"	"Hoxb9_Hoxb13"	69222	""	"Eutheria"	69.222	"Other Placentalia"
"Dog"	"clfamiliaris_gene_ensembl"	"Dog genes (ROS_Cfam_1.0)"	"ROS_Cfam_1.0"	"Hoxb1_Hoxb9"	91385	""	"Eutheria"	91.385	"Other Placentalia"
"Dog"	"clfamiliaris_gene_ensembl"	"Dog genes (ROS_Cfam_1.0)"	"ROS_Cfam_1.0"	"Hoxb9_Hoxb13"	69364	""	"Eutheria"	69.364	"Other Placentalia"
"Domestic yak"	"bgrunniens_gene_ensembl"	"Domestic yak genes (LU_Bosgru_v3.0)"	"LU_Bosgru_v3.0"	"Hoxb1_Hoxb9"	107353	""	"Eutheria"	107.353	"Other Placentalia"
"Domestic yak"	"bgrunniens_gene_ensembl"	"Domestic yak genes (LU_Bosgru_v3.0)"	"LU_Bosgru_v3.0"	"Hoxb9_Hoxb13"	80198	""	"Eutheria"	80.198	"Other Placentalia"
"Donkey"	"easinus_gene_ensembl"	"Donkey genes (ASM1607732v2)"	"ASM1607732v2"	"Hoxb1_Hoxb9"	87669	""	"Eutheria"	87.669	"Other Placentalia"
"Donkey"	"easinus_gene_ensembl"	"Donkey genes (ASM1607732v2)"	"ASM1607732v2"	"Hoxb9_Hoxb13"	64596	""	"Eutheria"	64.596	"Other Placentalia"
