Ens_ID	baseMean	log2FoldChange	pvalue	padj	factor	subsetting	value	ref.value	seqid	start	end	strand	gene_name	gene_biotype
ENSMUSG00000018973	1187.19065517898	-0.351449698937507	0.248670626425625	0.999381430475115	genoclone	120_	delBinv5-10clone1	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1089.44073175419	-0.369965914158155	0.0916495265577874	0.300911072574364	genoclone	120_	delBins5-10del5-10	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1542.23785767257	0.836595877575857	0.0104884801952192	0.190210804216398	genoclone	delBdeli9-13orwt_120_	wt	delBdeli9-13	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1140.73229971664	-0.358529468551221	0.159226385394746	0.61419637660009	genoclone	120_	delBinv5-10clone2	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1185.45385248211	-0.356938400146897	0.227890040775341	0.999822534788035	genoclone	120_	delBins5-10del8-10	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1590.18601589335	0.808367628483617	0.0154897221639533	0.298195389162573	genoclone	120_	wt	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1081.12159188403	-0.234879652799287	0.478705087450942	0.985265928225981	genoclone	120_	delBins5-10del7-10	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1052.75847462399	0.348454346444593	0.0973137286739267	0.321271480993469	genoclone	delBdeli9-13ordelBins5-10del5-10_120_	delBdeli9-13	delBins5-10del5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1133.46847620944	-0.567898146931422	0.0578667082689992	0.999949433214544	genoclone	120_	delBinv5-10del7-10	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
ENSMUSG00000018973	1250.08744247956	-0.0223264375630525	0.919054030967883	0.999956456981836	genoclone	120_	delBdeli9-13	delBins5-10	chr11	96365751	96368256	+	Hoxb1	protein_coding
