dataset	ensembl_transcript_id	chromosome_name	exon_chrom_start	exon_chrom_end	external_gene_name	strand	rank	mmusculus_homolog_associated_gene_name	description	version
abrachyrhynchus_gene_ensembl	ENSABRT00000000703	NXHY01000306.1	349245	349845	HOXB1	1	1	Hoxb1	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000703	NXHY01000306.1	350568	350881	HOXB1	1	2	Hoxb1	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000703	NXHY01000306.1	352050	352085	HOXB1	1	3	Hoxb1	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000577	NXHY01000306.1	205065	205157	HOXB13	1	1	Hoxb13	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000577	NXHY01000306.1	206865	207312	HOXB13	1	2	Hoxb13	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000577	NXHY01000306.1	208099	208352	HOXB13	1	3	Hoxb13	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000601	NXHY01000306.1	248244	248877	HOXB9	1	1	Hoxb9	Pink-footed goose genes (ASM259213v1)	ASM259213v1
abrachyrhynchus_gene_ensembl	ENSABRT00000000601	NXHY01000306.1	252323	254321	HOXB9	1	2	Hoxb9	Pink-footed goose genes (ASM259213v1)	ASM259213v1
acalliptera_gene_ensembl	ENSACLT00000005182	4	27912742	27913230	hoxb13a	1	1	Hoxb13	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005182	4	27913265	27913448	hoxb13a	1	2	Hoxb13	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005182	4	27914590	27914837	hoxb13a	1	3	Hoxb13	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000016839	LS419833.1	101802	102746	hoxb13a	1	1	Hoxb13	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000016839	LS419833.1	103890	104523	hoxb13a	1	2	Hoxb13	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005324	4	28139295	28140123	hoxb1a	1	1	Hoxb1	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005324	4	28141427	28142147	hoxb1a	1	2	Hoxb1	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000036150	8	4956380	4956938	hoxb1b	1	1	Hoxb1	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000036150	8	4957193	4957494	hoxb1b	1	2	Hoxb1	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005190	4	27986802	27988219	hoxb9a	1	1	Hoxb9	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acalliptera_gene_ensembl	ENSACLT00000005190	4	27995586	27999737	hoxb9a	1	2	Hoxb9	Eastern happy genes (fAstCal1.2)	fAstCal1.2
acarolinensis_gene_ensembl	ENSACAT00000039439	6	75465582	75466287	HOXB1	-1	1	Hoxb1	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
